phase1_gene_id	gene	phase1_beta	Phase1_FDR	external_beta	external_beta_donor_1	external_beta_donor_2	external_beta_donor_3	external_beta_donor_4	external_direction_match	n_donors_same_direction	donor_4of4	donor_3of4	donor_replication_class	literature_positive_control	gene_activity_beta	gene_activity_match	LODO_stable	high_confidence_core	CORE100	CORE250	CORE500
ENSG00000105825	TFPI2	-6.30371596808339	5.23525382560758e-09	-3.0041507862852277	-3.785367746441629	-2.691941961422828	-1.6000416913277276	-3.9392517459487255	True	4	True	True	4/4	NONE	-1.5022573157283825	1.0	True	True	True	True	True
ENSG00000232002	LINC01880	-5.41917993530364	0.0004364243805813	-1.310714153931531	-2.2004052457204724	-3.395548958642603	-0.0150791906065714	0.3681767792435217	True	3	False	True	3/4	NONE	NA	NA	True	True	True	True	True
ENSG00000138798	EGF	-5.17619382602827	1.18853577430937e-10	-1.4869790281201278	2.1919121770582883	-3.501971017778757	-0.0150791906065714	-4.622778081153471	True	3	False	True	3/4	NONE	-0.2317563167778402	1.0	True	True	True	True	True
ENSG00000007372	PAX6	-5.13058840776406	6.14786215411027e-08	-0.6939529532447379	1.2590263729168254	-2.31754644664133	-0.0150791906065714	-1.702212548647876	True	3	False	True	3/4	NONE	-1.0214014045521516	1.0	True	True	True	True	True
ENSG00000154975	CA10	-4.83089529580327	0.0007111159253533	-0.1368675313278294	0.9695197557218402	-1.4695495400863798	-0.0150791906065714	-0.0323611503402068	True	3	False	True	3/4	NONE	NA	NA	False	True	True	True	True
ENSG00000280776	LINC01202	4.8095377939794	8.81566218509362e-11	0.7279903733314949	-2.2004052457204724	2.437341055522139	-0.0150791906065714	2.6901048741308844	True	2	False	False	2/4	NONE	NA	NA	NA	False	True	True	True
ENSG00000171729	TMEM51	-4.67357269835933	2.9020645081653604e-15	-2.271098574111006	-1.837835166335764	-3.2350842864493567	-0.0150791906065714	-3.9963956530523337	True	4	True	True	4/4	NONE	-1.6265322442225212	1.0	True	True	True	True	True
ENSG00000103175	WFDC1	4.57584221093252	2.02520365867421e-10	2.272807457852196	0.6139192311519732	4.564302473212439	1.0844564829443435	2.8285516441000285	True	4	True	True	4/4	MACULA	1.2634231862540042	1.0	True	True	True	True	True
ENSG00000157404	KIT	-4.56455917750435	3.07712289377881e-07	-1.8611226192239436	-2.2004052457204724	-3.67118340125603	-0.0150791906065714	-1.5578226393127013	True	4	True	True	4/4	NONE	-1.6491987762551104	1.0	True	True	True	True	True
ENSG00000185518	SV2B	-4.48357934775069	2.37452491178563e-08	-0.5837895034782115	3.354183605957165	-3.2350842864493567	-1.6000416913277276	-0.8542156420929263	True	3	False	True	3/4	NONE	-0.6208478728522648	1.0	False	True	True	True	True
ENSG00000184254	ALDH1A3	-4.39814112861246	8.11250021246276e-10	-2.7265303315510514	-5.900844963861564	-2.6070530638363145	-0.0150791906065714	-2.3831441078997546	True	4	True	True	4/4	ATAC_ASSOCIATED	-1.3956965166704296	1.0	True	True	True	True	True
ENSG00000127928	GNGT1	-4.18501453114654	2.49132176789938e-06	-0.328843219543755	1.8870575955298667	-2.0862209005348737	-1.2374716119430191	0.1212620387730059	True	2	False	False	2/4	NONE	-0.6198826579926406	1.0	NA	False	True	True	True
ENSG00000140986	RPL3L	-4.17685807016219	4.40655079775433e-08	-1.158733241640414	-2.2004052457204724	-3.2350842864493567	-0.0150791906065714	0.8156357562147432	True	3	False	True	3/4	NONE	-0.2073713426383803	1.0	True	True	True	True	True
ENSG00000145832	SLC25A48	4.11232129396669	4.29302090479117e-13	0.9573748332835016	0.3020950948087106	2.7999111349068473	-0.0150791906065714	0.7425722940250195	True	3	False	True	3/4	NONE	0.413711552336047	1.0	True	True	True	True	True
ENSG00000121005	CRISPLD1	-3.9325199241441	9.28881904139852e-07	-1.0140963263509823	-0.6154427449993158	-2.0862209005348737	-0.0150791906065714	-1.3396424692631683	True	4	True	True	4/4	NONE	-1.3584576053207753	1.0	True	True	True	True	True
ENSG00000188487	INSC	3.89590540675181	8.15219485219424e-12	0.9573748332835018	2.8439888736379815	3.354878895330166	-1.6000416913277276	-0.7693267445064129	True	2	False	False	2/4	NONE	0.0351086775587268	1.0	NA	False	True	True	True
ENSG00000180934	OR56A1	3.69913549920955	4.16376155186848e-08	0.3317497481512058	-2.2004052457204724	0.8523785548009828	-0.0150791906065714	2.6901048741308844	True	2	False	False	2/4	NONE	0.9776170914771316	1.0	NA	False	True	True	True
ENSG00000154655	L3MBTL4	-3.6290616327352	2.16330274898952e-09	-2.01363598964494	-0.1300159178290743	-2.906066766775675	-0.0150791906065714	-5.00338208336844	True	4	True	True	4/4	NONE	-0.5847677567753957	1.0	True	True	True	True	True
ENSG00000145824	CXCL14	3.61711073907539	6.9376082707267e-07	2.5695709268929487	1.7064853498880468	4.31181017343828	-0.0150791906065714	4.27506737485204	True	3	False	True	3/4	NONE	1.4549473982766414	1.0	True	True	True	True	True
ENSG00000079156	OSBPL6	3.60242950142674	1.40343703246676e-10	2.130024046812138	1.6274137788968472	2.3613922022888403	1.5698833101145846	2.9614068959482784	True	4	True	True	4/4	NONE	0.5518106102840501	1.0	True	True	True	True	True
ENSG00000049540	ELN	-3.60189799308565	5.834673000619e-10	-2.631700528564267	-3.785367746441629	-2.9772063146400862	-1.1525827143565053	-2.611645338818848	True	4	True	True	4/4	PERIPHERY	-0.6392927102245014	1.0	True	True	True	True	True
ENSG00000112541	PDE10A	3.56471091411966	1.69047459692659e-16	2.4541559970105955	4.815288561384674	3.1743066496883454	-0.0150791906065714	1.8421079675759349	True	3	False	True	3/4	NONE	NA	NA	True	True	True	True	True
ENSG00000152208	GRID2	3.55503700587982	8.78831290155806e-11	1.6985408501282644	2.268364237496161	-0.1680855477587322	2.792275731451033	1.901608979324596	True	3	False	True	3/4	NONE	NA	NA	True	True	True	True	True
ENSG00000182240	BACE2	-3.5427159722342	0.000146836232586	-0.1798236649172778	2.323156710336541	-1.4695495400863798	-0.0150791906065714	-1.5578226393127013	True	3	False	True	3/4	NONE	-0.3824318937178612	1.0	False	True	True	True	True
ENSG00000091129	NRCAM	-3.49774199289451	0.000179625744829	-0.1653586181775542	0.6871200250211151	0.0638826599946944	-0.0150791906065714	-1.3973579671194551	True	2	False	False	2/4	NONE	-0.2778746457094474	1.0	NA	False	True	True	True
ENSG00000029534	ANK1	3.48401021229351	6.07908968444423e-13	0.0633354877198788	-0.6154427449993154	1.89419873049561	-1.6000416913277276	0.5746276567109483	True	2	False	False	2/4	NONE	0.1204356185941029	1.0	NA	False	True	True	True
ENSG00000229621	LINC01822	3.45131923709298	1.19416347039484e-06	0.3317497481512058	-2.2004052457204724	0.8523785548009828	-0.0150791906065714	2.6901048741308844	True	2	False	False	2/4	NONE	NA	NA	NA	False	True	True	True
ENSG00000148734	NPFFR1	-3.40650789443094	0.000354215265616	0.5159911466927575	0.6069496763371318	0.3669517276307412	-0.0150791906065714	1.1051423734097283	False	1	False	False	<=1/4	NONE	-0.1580331385651476	0.0	NA	False	True	True	True
ENSG00000249937	LINC02223	-3.40435360840301	0.0030662936763571	-1.1822303450336644	-3.0484021522754223	0.08186040092375	-0.0150791906065714	-1.7473004381764143	True	3	False	True	3/4	NONE	NA	NA	True	True	True	True	True
ENSG00000151789	ZNF385D	-3.39845525575075	2.02520365867421e-10	0.5237095029231524	2.268364237496161	-1.6895152240282876	1.207313230729877	0.3086757674948597	False	1	False	False	<=1/4	NONE	NA	NA	NA	False	True	True	True
ENSG00000134602	STK26	-3.39481252420293	1.7613434982787e-07	-0.3700889823631952	-2.2004052457204724	0.8523785548009826	-0.0150791906065714	-0.1172500479267197	True	3	False	True	3/4	NONE	-1.2360651947562196	1.0	False	True	True	True	True
ENSG00000049089	COL9A2	-3.37512825857555	1.18853577430937e-10	-0.2877620760499551	0.9695197557218402	-1.6256687420036613	-0.0150791906065714	-0.4798201273114277	True	3	False	True	3/4	NONE	-1.0340261805879256	1.0	False	True	True	True	True
ENSG00000085552	IGSF9	3.35688969418673	5.23525382560758e-09	1.2178298772071583	-1.4634396515542665	-0.2471571187499317	1.5698833101145846	5.012032969018247	True	2	False	False	2/4	NONE	0.3344755272058184	1.0	NA	False	True	True	True
ENSG00000116254	CHD5	-3.33247335717419	1.02973259314792e-05	-2.0647961697300667	-1.6698905290216928	-1.570832875923561	-1.6000416913277276	-3.4184195826472843	True	4	True	True	4/4	NONE	-0.5306572024619962	1.0	True	True	True	True	True
ENSG00000166922	SCG5	-3.32219298507121	1.27796522023809e-12	-2.758576286718592	-5.007760167778076	-3.3440186580025206	-0.0150791906065714	-2.667447130487199	True	4	True	True	4/4	NONE	-0.3191773749155895	1.0	True	True	True	True	True
ENSG00000162598	C1orf87	-3.27032383937918	1.20424621314611e-06	-2.8438475418428784	-4.522333340607834	-4.573886199901116	-0.0150791906065714	-2.264091436255991	True	4	True	True	4/4	NONE	-0.0680540602856978	1.0	True	True	True	True	True
