gene_id	beta_interaction	BH_FDR_interaction	P_interaction	gene	context_only
ENSG00000145832	0.0093322116620017	0.899681912932791	0.552986275504417	SLC25A48	True
ENSG00000113578	0.0265062616471796	0.776817822739664	0.125928533782574	FGF1	True
ENSG00000280776	6.96074308712472e-05	0.999490531660723	0.997414745569119	LINC01202	True
ENSG00000204767	0.0203470047203073	0.787273063194015	0.178645710121955	INSYN2B	True
ENSG00000153162	0.017318317564621	0.8427491510366	0.364430163564307	BMP6	True
ENSG00000112319	-0.0018019486106782	0.990462197753329	0.943124905020758	EYA4	True
ENSG00000112541	0.0098232781583451	0.834922410344141	0.328117998108	PDE10A	True
ENSG00000106483	0.0192777984438332	0.830458285172771	0.303570803243216	SFRP4	True
ENSG00000049540	-0.0151784379696776	0.834922410344141	0.329752520300804	ELN	True
ENSG00000127928	-0.0029727358987925	0.984034956170793	0.90961867078712	GNGT1	True
ENSG00000105825	-0.0090884314253194	0.949910326715454	0.761114061156047	TFPI2	True
ENSG00000091129	-0.0419635035075439	0.78015694412354	0.140848606357926	NRCAM	True
ENSG00000179603	0.0086903823335525	0.949249735627136	0.759400997830392	GRM8	True
ENSG00000155093	-0.0033084656642031	0.952206464679165	0.77428254803217	PTPRN2	True
ENSG00000168546	0.0444155014666794	0.776646770087996	0.0728262979542163	GFRA2	True
ENSG00000156687	0.0303045740612175	0.851096314007839	0.385321508068869	UNC5D	True
ENSG00000029534	-2.36516840524946e-05	0.99957681326659	0.998589591443687	ANK1	True
ENSG00000121005	0.0056929551924457	0.960156342551244	0.801942439650245	CRISPLD1	True
ENSG00000177459	0.0147151397477216	0.913377486638019	0.599538864724545	ERICH5	True
ENSG00000153714	-0.0061060759839545	0.929093537469034	0.667679836400507	LURAP1L	True
ENSG00000130957	0.0179718121562989	0.846709508868078	0.371922724139929	FBP2	True
ENSG00000188833	0.0261246511308286	0.843030983480048	0.365776974196515	ENTPD8	True
ENSG00000148734	0.0102832996103027	0.93861495976952	0.710817653472701	NPFFR1	True
ENSG00000156113	-0.0049770232687702	0.958837729061536	0.798960194211329	KCNMA1	True
ENSG00000180934	-0.0176407313885064	0.856780164967861	0.403533768477056	OR56A1	True
ENSG00000175868	0.0116341543591815	0.836707107996201	0.338092776974669	CALCB	True
ENSG00000188487	0.033420115803837	0.776646770087996	0.036091934311123	INSC	True
ENSG00000007372	-0.0240120114404343	0.8427491510366	0.362143493542845	PAX6	True
ENSG00000281880	0.0320064334891474	0.836337716667995	0.335529544675373	PAUPAR	True
ENSG00000135373	-0.0176580538840394	0.815392330336858	0.261594280878559	EHF	True
ENSG00000011347	-0.0355902483291262	0.776646770087996	0.0340694780300956	SYT7	True
ENSG00000165478	0.0087980328185017	0.943564553465929	0.728392660919492	HEPACAM	True
ENSG00000120457	0.0325028251560704	0.808490509666871	0.241397000665553	KCNJ5	True
ENSG00000127324	-0.0255872151393683	0.776646770087996	0.11310064090632	TSPAN8	True
ENSG00000011465	0.0009483243590042	0.995417853782405	0.962866126543677	DCN	True
ENSG00000255794	0.0235022053797355	0.894231446310172	0.537615096171335	RMST	True
ENSG00000111696	-0.0149607444497582	0.776646770087996	0.0931390368014688	NT5DC3	True
ENSG00000111249	0.0065257726360728	0.933503110312487	0.683444068526922	CUX2	True
ENSG00000125257	-0.006318465527074	0.894041554553594	0.536837476682237	ABCC4	True
ENSG00000198542	-0.001437370746707	0.976614147159912	0.875057597972833	ITGBL1	True
ENSG00000250548	-0.0121236761222586	0.893781871433686	0.531701131068732	LINC01303	True
ENSG00000140090	-0.0089334908628097	0.891456353723656	0.521074012485384	SLC24A4	True
ENSG00000166922	0.0133644162906712	0.820306692328791	0.27360076983334	SCG5	True
ENSG00000185518	0.0219692964218249	0.837154137145691	0.339340410830523	SV2B	True
ENSG00000184254	-0.0125431725023107	0.888705457186985	0.510774696629338	ALDH1A3	True
ENSG00000140986	0.0220062773766162	0.832223102860546	0.317041056731162	RPL3L	True
ENSG00000103355	-0.0177293759022218	0.852350023315109	0.390506670267953	PRSS33	True
ENSG00000086696	0.0391712304796431	0.8427491510366	0.362860052872402	HSD17B2	True
ENSG00000103175	0.0339712249049047	0.776646770087996	0.0805226365621647	WFDC1	True
ENSG00000277363	-0.0165114857034621	0.82290360936223	0.287576055511181	SRCIN1	True
ENSG00000154975	-0.0093326862063827	0.967808356397687	0.832668999632749	CA10	True
ENSG00000154655	0.0079330508973584	0.922738872427862	0.632910429230797	L3MBTL4	True
ENSG00000134042	-0.0009301464049101	0.995809617932746	0.966490710436685	MRO	True
ENSG00000071991	0.0308339768792033	0.776646770087996	0.0283641660204245	CDH19	True
ENSG00000101463	0.0154045363782408	0.878040361616091	0.47123717668901	SYNDIG1	True
ENSG00000182240	0.0024387092111776	0.987185270922168	0.92942191426569	BACE2	True
ENSG00000160307	-0.0060460191299322	0.941072230980592	0.721748097512588	S100B	True
ENSG00000100341	0.0107007118503371	0.911190661396282	0.589373460005441	PNPLA5	True
ENSG00000149970	0.0059382900489523	0.930373962751949	0.673131717882087	CNKSR2	True
ENSG00000281852	-0.012127242101808	0.88367971029639	0.492705593129151	LINC00891	True
ENSG00000102362	-0.029591416341667	0.776646770087996	0.0211082199246934	SYTL4	True
ENSG00000134602	0.0165449783073171	0.848869928178086	0.379846343038975	STK26	True
ENSG00000067842	-0.0126727651425341	0.930373962751949	0.673215854799775	ATP2B3	True
ENSG00000092377	-0.0056388992354794	0.939819897420446	0.713730053470497	TBL1Y	True
