gene_id	beta_interaction	BH_FDR_interaction	P_interaction	gene	context_only
ENSG00000196581	-0.0049036596303293	0.970084721183783	0.844565230336629	AJAP1	True
ENSG00000116254	-0.0111850611590774	0.919791777979404	0.624425293144619	CHD5	True
ENSG00000204518	0.0129038804322544	0.903667144681818	0.56520492076421	AADACL4	True
ENSG00000171729	-0.0404351275827388	0.776646770087996	0.0027833532475986	TMEM51	True
ENSG00000134668	-0.0300838527630333	0.776646770087996	0.104732033144994	SPOCD1	True
ENSG00000049089	0.0097307362360226	0.88116236225441	0.483208837328439	COL9A2	True
ENSG00000162598	0.0166565641221038	0.861617216902264	0.42458560403124	C1orf87	True
ENSG00000085552	-0.005129681367	0.951694256407364	0.769347477031463	IGSF9	True
ENSG00000162761	0.0067090977317034	0.939764479984739	0.713192614553972	LMX1A	True
ENSG00000116667	0.0069787525816504	0.91297926128539	0.5966264625299	C1orf21	True
ENSG00000117707	-0.0146527156911196	0.896998963337639	0.545703152152711	PROX1	True
ENSG00000143882	0.0392975407281699	0.807435835953686	0.23562568292549	ATP6V1C2	True
ENSG00000229621	-0.0016412248928714	0.989857602398597	0.94164085056066	LINC01822	True
ENSG00000143995	0.0104232312009175	0.830458285172771	0.304091463823508	MEIS1	True
ENSG00000078098	0.0193295303090425	0.798697356194298	0.210980019413786	FAP	True
ENSG00000079156	0.0203769219416373	0.787273063194015	0.185262746115622	OSBPL6	True
ENSG00000170396	0.036724486504944	0.822840019209829	0.286379653729807	ZNF804A	True
ENSG00000231672	0.006796287905309	0.940965256128702	0.719015959775701	DIRC3	True
ENSG00000232002	0.0040873709067078	0.987185270922168	0.929153265312803	LINC01880	True
ENSG00000151789	0.0041107050186633	0.95192560738324	0.77257484426235	ZNF385D	True
ENSG00000172020	0.0206241784481696	0.888705457186985	0.505276726789104	GAP43	True
ENSG00000197953	-0.0162999093027872	0.880272426008412	0.477267289972419	AADACL2	True
ENSG00000197415	0.0146137658402192	0.787273063194015	0.165542427628972	VEPH1	True
ENSG00000073792	0.014848204705057	0.810337746421852	0.246372778507338	IGF2BP2	True
ENSG00000074211	-0.004069327861033	0.955811684310727	0.788874796684053	PPP2R2C	True
ENSG00000145147	0.0034438002520319	0.95531554182241	0.786620015945093	SLIT2	True
ENSG00000185774	0.0193592466174731	0.815392330336858	0.261849966711738	KCNIP4	True
ENSG00000157404	-0.011748190655487	0.92464067830827	0.641417717662609	KIT	True
ENSG00000152208	-0.0195054743874763	0.796619487466757	0.207598931041765	GRID2	True
ENSG00000138798	0.0052171980300691	0.961009643394007	0.806685588080787	EGF	True
ENSG00000249937	0.0118539713095602	0.946574243594483	0.741365378427782	LINC02223	True
ENSG00000182836	0.0167563462404052	0.856780164967861	0.402725901941567	PLCXD3	True
ENSG00000113448	-0.0042848721116931	0.940965256128702	0.719111891307598	PDE4D	True
ENSG00000251493	-0.0062504807194372	0.928438875197864	0.662118067216453	FOXD1	True
ENSG00000175745	0.001561524420301	0.985705884260341	0.917550291290052	NR2F1	True
ENSG00000145824	0.000773152241316	0.996062467096536	0.974482447292615	CXCL14	True
