comparison	n_genes	spearman_rho	direction_concordance_all	n_primary_fdr05	same_direction_among_primary_hits
PRIMARY_vs_ADULT	22430	0.654521321724878	0.756754346856888	0	NA
PRIMARY_vs_AGE_OVERLAP	22430	1	1	0	NA
PRIMARY_vs_PAIRED_DELTA	22430	0.506963908338868	0.673250111457869	0	NA
PRIMARY_vs_CELLCOUNT_20	22430	0.991219185596782	0.949487293802943	0	NA
PRIMARY_vs_CELLCOUNT_50	22430	0.997637788918208	0.983370485956308	0	NA
PRIMARY_vs_MIXED_ASSAY_EXCLUDED	22430	0.999999873676463	0.99991083370486	0	NA
