subtype	n_donor_regions	macula_mean_proportion	periphery_mean_proportion	beta_region_at_median_age	p_region	beta_age_periphery	p_age_periphery	beta_age_region_interaction	p_age_region_interaction	r_squared	fdr_region	fdr_age_periphery	fdr_age_region_interaction	descriptive_region_shift_fdr05	descriptive_age_shift_fdr05	descriptive_age_region_shift_fdr05
RPE_CST3+	55	0.03637348097796074	0.08868223505035248	-0.060698988342095396	0.08982956467204097	0.001074008087630372	0.18747179881346696	-0.0022145632921561046	0.1210045141441163	0.09020850056576069	0.1122869558400512	0.23433974851683367	0.20167419024019384	False	False	False
RPE_INSYN2B+	55	0.02355419230305937	0.39422703672693243	-0.3588229491027846	2.942121407024409e-08	-0.004936544173398734	0.0002594470543742006	0.004901972326863042	0.03004628435270464	0.5504614720038026	7.355303517561022e-08	0.001297235271871003	0.1502314217635232	True	True	False
RPE_LGI1+	55	0.8250957291489611	0.29650350043704604	0.5371446075904754	1.8502328870670992e-09	-0.0019757711811845373	0.24664048542982805	0.0027144581785952106	0.3610332656911672	0.5173236413893456	9.251164435335496e-09	0.24664048542982805	0.3610332656911672	True	False	False
RPE_TENM4+	55	0.002210485593113193	0.1369043066913472	-0.14151415120248495	0.0027501842489797796	0.002892872575454271	0.007016788994188316	-0.002848149457493469	0.1195201928450381	0.25168897170151927	0.0045836404149663	0.017541972485470788	0.20167419024019384	True	True	False
RPE_TUBA1A+	55	0.11276611197690553	0.08368292109432186	0.023891481056889464	0.7184356639019414	0.0029454346914986685	0.056464671594983244	-0.0025537177558086466	0.3372964574990246	0.0734562024111447	0.7184356639019414	0.09410778599163874	0.3610332656911672	False	False	False
