GSM	donor	region	modality	processed_file	raw_file	barcode_metadata	cluster	cell_count	usable	reason	processed_sha256	normalized_companion
GSM6792819	donor_1	MACULA	RNA	data/raw/GSE220155/GSM6792819_donor_1_macula_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	187	True	author processed integer count matrix; sample is RPE with auditable donor and region	795cbcb9481b9a6c984e1dde35b3dc436cc3aac933263efc5eebb3cef6acbf18	data/raw/GSE220155/GSM6792819_donor_1_macula_normalized.csv.gz
GSM6792820	donor_1	PERIPHERAL	RNA	data/raw/GSE220155/GSM6792820_donor_1_peripheral_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	106	True	author processed integer count matrix; sample is RPE with auditable donor and region	a6817f58cd84539fe5401637aca3279412cde441554660c97d6b664cbef9bf32	data/raw/GSE220155/GSM6792820_donor_1_peripheral_normalized.csv.gz
GSM6792821	donor_2	MACULA	RNA	data/raw/GSE220155/GSM6792821_donor_2_macula_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	172	True	author processed integer count matrix; sample is RPE with auditable donor and region	6d0c1ad346ee7c1e7c8f6ddc05e6c5449fa235d23c2175be65743bce5d49e550	data/raw/GSE220155/GSM6792821_donor_2_macula_normalized.csv.gz
GSM6792822	donor_2	PERIPHERAL	RNA	data/raw/GSE220155/GSM6792822_donor_2_peripheral_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	483	True	author processed integer count matrix; sample is RPE with auditable donor and region	c311388834a801822879fb2395bb5395e621b78545b6c14e8e5be3a68b7873c9	data/raw/GSE220155/GSM6792822_donor_2_peripheral_normalized.csv.gz
GSM6792823	donor_3	MACULA	RNA	data/raw/GSE220155/GSM6792823_donor_3_macula_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	37	True	author processed integer count matrix; sample is RPE with auditable donor and region	1e791b248e06d09d7e6bfa93aef97373da88dff2e63279d17973025bfc26ba45	data/raw/GSE220155/GSM6792823_donor_3_macula_normalized.csv.gz
GSM6792824	donor_3	PERIPHERAL	RNA	data/raw/GSE220155/GSM6792824_donor_3_peripheral_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	45	True	author processed integer count matrix; sample is RPE with auditable donor and region	e67415c4f9a9a86fba559ca0df92b55eef91ac2aaeec07264b476029cfb93557	data/raw/GSE220155/GSM6792824_donor_3_peripheral_normalized.csv.gz
GSM6792825	donor_4	MACULA	RNA	data/raw/GSE220155/GSM6792825_donor_4_macula_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	213	True	author processed integer count matrix; sample is RPE with auditable donor and region	e4bd7c68d0487b669bf5235a51d4eea109f645bf841fc4d09ba4da88eac1e4bb	data/raw/GSE220155/GSM6792825_donor_4_macula_normalized.csv.gz
GSM6792826	donor_4	PERIPHERAL	RNA	data/raw/GSE220155/GSM6792826_donor_4_peripheral_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	464	True	author processed integer count matrix; sample is RPE with auditable donor and region	a24d6fd3b9d0af746a4d719c651ef7077296a1405f286472b28652db1501d814	data/raw/GSE220155/GSM6792826_donor_4_peripheral_normalized.csv.gz
GSM6792827	donor_1	MACULA	ATAC	data/raw/GSE220155/GSM6792827_donor_1_macula_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	187	True	author processed integer count matrix; sample is RPE with auditable donor and region	21f65359b3e631b764498786ab60e8dd2fd9256947df4c692b797ffded99786f	data/raw/GSE220155/GSM6792827_donor_1_macula_geneactivity_normalized.csv.gz
GSM6792828	donor_1	PERIPHERAL	ATAC	data/raw/GSE220155/GSM6792828_donor_1_peripheral_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	106	True	author processed integer count matrix; sample is RPE with auditable donor and region	d2246e2740f859a2c659a800027ae4cf148cd3d8c6a94dcc667188e7616f699d	data/raw/GSE220155/GSM6792828_donor_1_peripheral_geneactivity_normalized.csv.gz
GSM6792829	donor_2	MACULA	ATAC	data/raw/GSE220155/GSM6792829_donor_2_macula_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	172	True	author processed integer count matrix; sample is RPE with auditable donor and region	4bddeb68b0396f421bccf1204b2f9029abe7901be0855f14319f677ae3c04911	data/raw/GSE220155/GSM6792829_donor_2_macula_geneactivity_normalized.csv.gz
GSM6792830	donor_2	PERIPHERAL	ATAC	data/raw/GSE220155/GSM6792830_donor_2_peripheral_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	483	True	author processed integer count matrix; sample is RPE with auditable donor and region	ed40ac58d140ea888000ac844faca74fef021970c4b652a595525aa319399d95	data/raw/GSE220155/GSM6792830_donor_2_peripheral_geneactivity_normalized.csv.gz
GSM6792831	donor_3	MACULA	ATAC	data/raw/GSE220155/GSM6792831_donor_3_macula_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	37	True	author processed integer count matrix; sample is RPE with auditable donor and region	4315ef59b074d178a20968defc6ad2a8af341c2bb29af996faf76b91ea1e0da6	data/raw/GSE220155/GSM6792831_donor_3_macula_geneactivity_normalized.csv.gz
GSM6792832	donor_3	PERIPHERAL	ATAC	data/raw/GSE220155/GSM6792832_donor_3_peripheral_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	45	True	author processed integer count matrix; sample is RPE with auditable donor and region	c4f0f99894a2b3e9629779785bb06a199a93c9701e962c80c2b60ea5e4ede16e	data/raw/GSE220155/GSM6792832_donor_3_peripheral_geneactivity_normalized.csv.gz
GSM6792833	donor_4	MACULA	ATAC	data/raw/GSE220155/GSM6792833_donor_4_macula_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	213	True	author processed integer count matrix; sample is RPE with auditable donor and region	8f65a277767df0474f51d841084176d23e08122884614d3acc07d41edb84e680	data/raw/GSE220155/GSM6792833_donor_4_macula_geneactivity_normalized.csv.gz
GSM6792834	donor_4	PERIPHERAL	ATAC	data/raw/GSE220155/GSM6792834_donor_4_peripheral_geneactivity_counts.csv.gz	SRA linked from GEO; FASTQ not downloaded	barcode, region, new_cluster_number, library embedded in processed CSV	1|2|3|4	464	True	author processed integer count matrix; sample is RPE with auditable donor and region	b3de96c05ed1cc7de52f03a04d5ed0213d20cbfbd9abfee819036a5c783bca7d	data/raw/GSE220155/GSM6792834_donor_4_peripheral_geneactivity_normalized.csv.gz
